#grain_size_mm	site_0	site_1	site_2
2600	100	100	100
2500	99.90900819	99.58847737	99.9
2400	99.90900819	99.58847737	99.6
2300	99.90900819	99.58847737	99.45205479
2200	99.90900819	99.17695473	99.31506849
2100	99.90900819	99.17695473	99.31506849
2000	99.90900819	99.17695473	99.31506849
1900	99.90900819	98.7654321	99.31506849
1800	99.90900819	98.7654321	99.31506849
1700	99.90900819	98.7654321	99.17808219
1600	99.90900819	98.7654321	99.17808219
1500	99.81801638	98.35390947	99.04109589
1400	99.81801638	97.5308642	98.76712329
1300	99.72702457	96.2962963	98.76712329
1200	99.54504095	95.47325103	98.63013699
1100	99.27206551	94.23868313	98.35616438
1000	0	0	0
			
			
			
			
			
			
			
			
			
